lib,target,optlag,Optlag_rho,Dist
77,14,-4,0.255874403884342,11108.2076244288
138,14,0,0.286792028266029,1156.09531085997
142,14,0,0.440137634998309,803.298393711475
153,14,-1,0.248072577504795,5814.40125157536
165,14,-9,0.331647854522418,5319.51844272882
166,14,-9,0.202976196839374,5884.37352709341
170,14,-3,0.317856330244978,6536.60208965303
175,14,-2,0.258814140339542,11560.6016981678
786,14,-9,0.510893501487156,10892.308900133
789,14,-7,0.480625257155113,10943.4762305784
791,14,-8,0.315736535375172,10961.4303551829
792,14,-3,0.257318085201669,11068.3716000196
794,14,-9,0.306641762674615,11091.4548241382
804,14,-6,0.399738878867389,10733.2833293253
805,14,-7,0.219375926042456,10085.399221842
807,14,-6,0.352327135842531,10822.4268429618
812,14,-2,0.211374774134766,10071.0455010421
814,14,-9,0.279521694613239,10916.1242162486
822,14,-1,0.454881335047003,10494.9261120673
823,14,-9,0.378128880891813,10569.5811507819
824,14,-2,0.298748364268947,10463.6572551441
825,14,-3,0.400496747335866,11129.3981139316
829,14,0,0.223388063153755,11661.5951152899
830,14,-1,0.361093121184215,10473.4958157958
831,14,-5,0.286328570665418,11502.0340863415
832,14,-3,0.407485784593574,11208.9550142813
835,14,0,0.244721463205278,11276.8099569745
841,14,-8,0.363857903171218,11392.816188533
842,14,-8,0.294441870955399,11256.9948021009
843,14,-7,0.415037866347963,11386.3940084203
844,14,-9,0.256566398367516,11404.3051917297
847,14,-8,0.333590286636313,11294.6241344035
951,14,-4,0.47845865352646,12118.4951915415
1242,14,0,0.156687029246129,2977.95955032935
1265,14,-5,0.259918256579684,1935.13397221441
1294,14,0,0.261896251290167,2037.21653642722
1296,14,-8,0.281466600361953,3356.30516751095
1308,14,-9,0.342529549166699,669.643372973361
1313,14,-9,0.361592374828533,571.974409112825
1319,14,-6,0.403335749919943,2019.44713804371
1321,14,-9,0.334874256367498,2100.55410868166
1322,14,0,0.225528037366845,2155.00387424453
1326,14,-6,0.2133297010997,1704.5511517884
1327,14,-7,0.307356945113354,935.520268633596
1335,14,-2,0.511596431512989,1912.43749802476
1339,14,-2,0.261765680644118,3186.95257706335
1340,14,-6,0.45166573177777,1970.6859034804
1345,14,-5,0.327911779503957,1087.04895474924
1348,14,-1,0.492688979997737,1317.47433302254
1349,14,-4,0.309027801471416,814.978087840261
1353,14,-5,0.270203455424943,3600.40054766663
1358,14,-6,0.461548837618177,4095.60655626644
1368,14,0,0.199485183455383,4047.37679378596
1373,14,-2,0.409168450034979,2391.39212911796
1393,14,0,0.551285095989583,4186.72344550803
1394,14,-9,0.348265963867637,4214.24645635573
1407,14,-9,0.222772801871473,1262.61094151209
1409,14,-4,0.313610448085247,3795.38761344519
1410,14,-9,0.238690807520723,3806.47292790535
1432,14,-3,0.20140097153123,1947.42729194175
1450,14,-9,0.283229691560858,3159.69707653992
1455,14,-2,0.420074702130313,2263.02732504604
1487,14,-7,0.261065144781594,3321.84041364192
1494,14,-9,0.406999771690567,2920.36064793469
1504,14,0,0.384509021906241,2924.22770434483
1506,14,-9,0.327968060535908,3846.89016252585
1507,14,-2,0.443015654329155,3180.46137022596
1509,14,-9,0.279283072697214,3419.81585488587
1511,14,0,0.452287834620405,3470.1963865535
1519,14,0,0.354624701432079,3710.48400692225
1520,14,0,0.3876521906736,7138.35145148242
1529,14,-9,0.26818219589518,3412.43351339328
1537,14,-5,0.260980975320531,5530.38152574743
1545,14,-5,0.252532008980892,6205.72205206758
1548,14,-3,0.484279740076761,3540.37286630723
1550,14,-8,0.431383934434874,6131.50344287493
1567,14,0,0.546445680689617,5942.09090920954
1582,14,-8,0.333011134446085,4821.73139203862
1585,14,-3,0.306035677317854,4843.97918795033
1605,14,0,0.387590888348073,5254.89487247179
1612,14,-3,0.483356905092104,5656.72115404891
1627,14,0,0.356930722321478,6486.35053766477
1640,14,-5,0.317077537043349,11777.9059301231
1643,14,-9,0.389392579810219,11753.1134487
1650,14,-3,0.492246334413414,12071.8792332484
1651,14,-9,0.470885255178353,7559.74906209001
1659,14,-1,0.297570886871504,11455.3304728728
1660,14,-6,0.59288210870722,12673.5073202691
1663,14,-9,0.32557213651447,7990.04264146821
1669,14,-4,0.391612691699504,11800.8487456413
1688,14,-6,0.204091688823774,12206.4090397138
1690,14,0,0.515732537529132,12237.399922409
1692,14,0,0.466810403990053,12200.6685590618
1693,14,-7,0.274191358147822,12418.8023851826
1694,14,-1,0.377020973082022,12802.3480031421
1695,14,-3,0.29424247154522,12921.4328571323
9172,14,-8,0.372672416299886,10881.1390234638
9197,14,-6,0.303625465428512,10576.8286780418
9226,14,-1,0.312646042684966,10547.7622277457
9243,14,-4,0.239149747278679,11137.7960640831
9272,14,-8,0.390141731868616,11216.039607946
9300,14,-9,0.379199343505802,10842.2389380582
9308,14,-6,0.205073039317905,10070.9109622977
9313,14,-4,0.345393524299351,10784.6623382201
9322,14,-9,0.317501054297677,10715.8824193933
9328,14,-6,0.428911787683767,10878.9687180076
9332,14,-8,0.352734585451494,10374.549121185
9340,14,-9,0.414206165852052,10061.7441139975
9344,14,-4,0.301426180131903,10193.9231239307
9348,14,-3,0.226301897073927,10885.7555425427
9375,14,-8,0.284737174750824,10469.3381499382
9382,14,-2,0.193291025329503,11007.4406843963
9398,14,-6,0.336465699242014,10968.1574588141
9399,14,-4,0.274576276561557,10655.6250256677
9411,14,-4,0.307372360755768,11069.2117330073
9413,14,-7,0.321638946908072,10535.8821849574
9427,14,0,0.434357975258187,10472.1024143546
9430,14,0,0.348336024464908,11189.4284793156
9431,14,-7,0.226549931986153,10620.5124773301
9432,14,-8,0.276794408604897,11155.4801299309
9452,14,-9,0.403633658260432,10741.9195079902
9457,14,-5,0.323095310466818,11197.9143120435
9475,14,-9,0.398598216115826,11019.4687921515
9516,14,-8,0.455733096915581,10948.3702343818
9538,14,-6,0.357904123042233,11409.3203495057
9543,14,-9,0.509131615062227,11296.225838618
9556,14,-9,0.315163152458976,11281.6269032619
9573,14,-9,0.567892047918937,11352.6509079606
9585,14,-9,0.372701490764486,11335.5071544438
13539,14,-9,0.372515100068346,3772.49629445544
13545,14,-6,0.244133201906832,3760.15112584401
14052,14,-9,0.40135028308887,3668.40297054895
14059,14,-1,0.296040013722445,2948.53158154938
14072,14,-9,0.24057104947666,1912.99082651681
14132,14,0,0.33389753176795,1666.86477398874
14167,14,-9,0.455579142070513,3824.89406583662
14215,14,-9,0.520153689845267,1993.60140682049
14226,14,-9,0.402304443734785,1387.21558977444
14230,14,-1,0.203085795500341,1451.71078347766
14234,14,-1,0.493272208326113,2013.1180505086
14235,14,-3,0.454237438426577,2006.150643681
14238,14,-5,0.482412902011539,1988.00358169134
14242,14,-5,0.564375873252684,1981.06029020623
14306,14,-7,0.238599751354258,2389.75640569544
14309,14,-6,0.22892417196395,2149.33836159791
14431,14,-9,0.495894433664497,625.01176720233
14438,14,-7,0.499301410855555,3124.1726917845
14439,14,-1,0.344788311467158,3151.04507946784
14443,14,-9,0.313518736573141,5001.54746489083
14466,14,-3,0.345855932574461,1504.16505189472
14471,14,-9,0.248014814293125,4903.94370030639
14514,14,-2,0.213576885962576,2511.55998262838
14549,14,-2,0.343974304625851,2654.32582679022
14555,14,-9,0.457382595416057,4874.27842520965
14577,14,0,0.306626525005635,4890.86000779651
14581,14,-3,0.242514167382482,2825.15610351958
14584,14,-8,0.338628058856186,5011.28856219226
14599,14,-9,0.276965319862553,4818.40562695895
14645,14,-4,0.409659349400567,4920.78433193541
14653,14,-8,0.442078395719657,4913.22055626204
14654,14,-2,0.183033164801636,2727.95592702483
14660,14,-8,0.354621568339387,955.358376707324
14674,14,-1,0.36871328078094,2160.97068577802
14686,14,-7,0.296735825688018,2598.91711356799
14690,14,0,0.292194617996527,1397.05378273456
14696,14,-9,0.332678428433885,1080.65462589615
14723,14,0,0.35739303154163,4593.81221897751
14743,14,-2,0.251777711938524,2277.83080734106
14748,14,-3,0.253507673513358,3603.67333142476
14763,14,-4,0.250093017833366,1550.41157140074
14769,14,-4,0.433338031882454,3774.55683606339
14950,14,-9,0.365000538172276,4929.33421072824
15001,14,-6,0.28960408466086,1096.51077077853
15062,14,-6,0.309828524587468,3232.54374128003
15070,14,0,0.21728932866,3195.19639346777
15092,14,-1,0.370083041576959,1065.07044823564
15135,14,-5,0.266317268517973,2852.97621788958
15136,14,-2,0.332187576396881,5345.42267663964
15194,14,-6,0.459562591349957,2325.24793706274
15200,14,-9,0.417656752199596,2224.26029636466
15226,14,0,0.396727991361537,1971.58699950089
15254,14,-5,0.425217287268005,2449.21756484878
15257,14,-7,0.247356304128748,3436.29324068168
15293,14,-5,0.404499501987843,1289.34046383785
15376,14,-7,0.238415568844779,2870.07639270557
15380,14,-4,0.498547628345179,2492.74838088705
15458,14,-5,0.205231637856877,2103.3912651623
15469,14,-4,0.537860569353452,2644.75480955673
15490,14,0,0.363099567563014,2917.04024014892
15538,14,-1,0.283381902427212,2983.68351165731
15582,14,-3,0.365956729304981,2581.74710320322
15606,14,-4,0.208044752359688,3201.58509559365
15638,14,-9,0.303723296782364,3284.15059805342
15672,14,-8,0.309784924910885,3524.88346228266
15714,14,-9,0.265148751929615,3610.77200008585
15748,14,-5,0.247084623474812,3880.96957651646
15811,14,0,0.373211489644302,4035.31647961366
15815,14,-8,0.248847780017503,3524.63397460559
15827,14,0,0.278840861522876,3685.39402237161
15873,14,-4,0.38471523708204,4634.21452819211
15883,14,-8,0.510284512809908,4045.59450854186
15926,14,-1,0.288227520379462,4887.31525613919
15943,14,-1,0.319243333989875,4881.43080463031
15961,14,-4,0.56347833276172,4955.83633487342
16011,14,-7,0.524219728038308,5233.34465878114
16023,14,-4,0.438414802935724,5401.53121453542
16158,14,-5,0.241191088361009,10423.0215748177
16206,14,-2,0.339681599090116,10875.4910914494
16245,14,-3,0.443025431505427,6812.48563524438
16282,14,0,0.394096893656033,7416.53242484258
16286,14,-8,0.414381759607648,7320.27400752243
16306,14,-6,0.30762221384082,7524.87128114712
16311,14,-3,0.363349397761944,7584.90550472541
16320,14,-5,0.476192479480756,7575.60751586175
16328,14,0,0.415772113600725,7651.34141412549
16331,14,-1,0.362293053958295,7694.27346840307
16351,14,0,0.455492158799385,7791.77969193412
16359,14,-8,0.294596440204035,11580.1359670591
16361,14,-2,0.421450616001409,11449.7883595367
16364,14,-7,0.482027252250933,11450.866468541
16372,14,-9,0.315651189022884,7865.12731475023
16389,14,0,0.187457811663909,7907.36126266473
16391,14,-2,0.301564225854771,11495.7582045031
16402,14,-8,0.44329943341539,11568.4270818049
16405,14,-3,0.519050213659422,11606.0545186667
16410,14,-3,0.4235209614976,8178.36959960299
16413,14,-8,0.427486331488396,11627.4046618547
16415,14,-3,0.422136942240006,8217.45303466604
16430,14,-8,0.394769932919836,11657.5919145014
16432,14,-6,0.313699814529414,11640.3176577321
16453,14,0,0.437090216143938,12048.56499288
16471,14,-7,0.5451067443706,12426.7967609268
16478,14,-9,0.256587245907415,8455.20059946954
16482,14,0,0.299927294460805,12040.1110693868
16505,14,-3,0.529622619767298,12197.6014351645
16520,14,-7,0.271922250689279,12738.4204650656
16532,14,-3,0.450194943106606,12288.5254176208
16537,14,-9,0.397476771113944,11780.9559665135
16551,14,-7,0.486931665750857,12212.0710610246
16573,14,-8,0.425856147075615,12752.4241940982
16591,14,-9,0.507720494751736,12213.4017465784
16602,14,0,0.364936481402178,12556.2893122195
170358,14,-8,0.385572715013502,3609.11458151792
170811,14,-1,0.412821353342227,1999.32779464242
171064,14,-8,0.532069528290269,1989.39336802081
177672,14,-6,0.228680352008241,3905.69632067869
177707,14,-4,0.301434309520504,3882.56622310841
1318849,14,-2,0.274306091578786,4557.19775558993
117,15,-5,0.255590267064049,4431.8950529496
139,15,-4,0.270539902127914,4259.76477869149
152,15,0,0.283972090103287,2137.10718494949
157,15,-4,0.392801695885687,2719.54668469646
166,15,-5,0.415188176318976,3096.43119520264
789,15,-7,0.453786918255024,12436.7276263994
792,15,-9,0.327434124323532,12500.6687952542
795,15,-8,0.311934367891423,12441.2407750853
797,15,-2,0.265960374460055,10514.1228108145
806,15,-4,0.378130937514214,10754.3027714179
807,15,-6,0.283893253122334,10820.5137995149
813,15,-8,0.442511572823346,9602.74579703586
815,15,-8,0.420206530415629,10880.8520485204
822,15,-9,0.263356669432768,9795.82826839661
824,15,-7,0.222719616902211,9674.66552098474
826,15,-9,0.313327678480888,10426.5016826051
829,15,-8,0.350937466630193,12599.8492338431
831,15,-4,0.486364724523576,11926.401063616
838,15,0,0.133548745243955,10866.447539046
841,15,-1,0.257360485167217,11022.1444259014
847,15,-4,0.184164159372712,10618.3996020108
951,15,-4,0.35049645574338,7338.18474707812
1237,15,-4,0.36118100710553,4892.25366787584
1251,15,-3,0.333033358742639,3720.23084872241
1261,15,-4,0.321219496674522,3717.49155159099
1265,15,-6,0.29297012737571,3937.45969323177
1274,15,0,0.218302456803239,3632.76117514348
1275,15,-5,0.363917663404192,3637.24382257255
1279,15,-5,0.315116138624129,3857.8969848069
1282,15,-5,0.207098882694626,3582.94666893822
1284,15,-4,0.284142691913322,3801.29822450439
1298,15,-1,0.260801303894819,3436.72794432902
1307,15,-8,0.294269483416311,6038.57398598221
1308,15,0,0.369681295515074,5506.41634290506
1319,15,-8,0.292312912171842,3344.95756200853
1321,15,-1,0.3232737802244,3279.9995782159
1324,15,-4,0.276895778289299,5733.31068610048
1326,15,-7,0.20851200693745,3432.40355588352
1342,15,-8,0.358547532826594,3122.93978704162
1343,15,-3,0.378986641235699,3195.07242429818
1345,15,-9,0.426731027506565,5687.79070967652
1348,15,-8,0.249233105582218,3643.36574071008
1349,15,0,0.316694666155392,5356.40642814015
1392,15,-6,0.357415226383941,3663.97868107665
1393,15,-2,0.389173986760182,2434.36376941816
1398,15,-3,0.360135442135884,6316.56247277825
1401,15,-6,0.271576401465689,7054.83139872189
1408,15,0,0.233605467687754,6375.87767994118
1421,15,0,0.345707765595106,3813.85574976945
1423,15,-8,0.439109543378799,6593.94672882654
1432,15,-3,0.237891509885341,2959.3217812507
1450,15,-6,0.424048578981694,7592.48804034618
1482,15,-4,0.294631128249239,5774.74518588264
1484,15,-4,0.36878510658316,6528.61725502166
1487,15,0,0.367185440209713,7269.34132934171
1494,15,-2,0.486125282585135,2072.52357992145
1496,15,-8,0.162196981029812,6998.08617333907
1498,15,-7,0.276282179284867,6785.89739645099
1503,15,-2,0.283812224357882,7517.64364836331
1504,15,-5,0.282980744999682,6363.05149553918
1509,15,-2,0.333297596057225,6852.02217550337
1511,15,-9,0.449314252348614,6827.32221202767
1519,15,-7,0.250025603410802,6967.4294931152
1527,15,0,0.43851840699252,1951.11338394556
1541,15,-1,0.419262697428534,378.118408128769
1545,15,0,0.340384465814714,1630.31387631706
1550,15,-5,0.479249194294247,1492.45921840568
1560,15,-4,0.376331710077997,2784.15399469344
1563,15,-6,0.348139280537591,2771.62338108862
1564,15,-9,0.355654495724078,2754.16503101957
1567,15,-7,0.517062430510939,9417.26453118137
1575,15,-3,0.267936205360356,2705.83019456839
1582,15,-2,0.44398421498623,2540.84089460808
1585,15,-6,0.363174874898448,2803.47242092897
1631,15,-6,0.306360646955619,4788.10029010663
1640,15,-9,0.378695314781987,14969.0182839999
1644,15,-3,0.317731843124042,5077.6603788355
1647,15,-6,0.261742361838654,13464.9152771469
1650,15,0,0.418421056483038,15059.2619130831
1653,15,-9,0.322961578222927,4696.49348807308
1659,15,-9,0.19865899292735,13960.2383354648
1660,15,-3,0.447770569374346,15454.5783022371
1663,15,-4,0.479883514563664,5004.31002307942
1664,15,-5,0.339053375371669,14025.1506579336
1669,15,-9,0.210634489897581,14175.8534246643
1688,15,-4,0.386252503518813,14380.1308069801
1690,15,-8,0.348680770176704,14251.9754030739
1694,15,-7,0.269231305585832,14712.5846497059
1695,15,-3,0.261941075982875,14852.5306939066
9172,15,-6,0.288790932717637,12529.3862177758
9226,15,0,0.214446541088945,10695.0147797359
9300,15,-2,0.284584584449126,10916.694410931
9313,15,-5,0.23282727833045,10688.9472030291
9321,15,-2,0.487460114498287,10068.1631164169
9328,15,-1,0.457396292972468,10887.7983519874
9340,15,-2,0.437856307278835,9200.92058841537
9434,15,-5,0.458062044376,10838.6965160821
9475,15,-9,0.233849489043301,10503.6027664585
9498,15,-8,0.553766922304212,11386.8106757372
9516,15,-7,0.284196990071069,10090.4759154357
9538,15,-1,0.268450905746264,10906.2928350941
9556,15,-6,0.275855433145009,10579.7554165741
9585,15,-5,0.21578074804114,10639.8600332351
10147,15,0,0.276353600885034,6184.04639236572
14059,15,-9,0.400425156160501,3686.98419158789
14229,15,-2,0.373795351248135,3964.4557058487
14230,15,-9,0.298369343044051,4094.92382258415
14238,15,0,0.274247638429362,3794.51033516995
14240,15,-7,0.346528631840788,3794.30551761859
14289,15,-1,0.28933829954558,3731.05755650084
14306,15,-8,0.286474356096817,3548.91157501891
14430,15,-4,0.399719221644359,3180.07364951283
14442,15,-3,0.415588179844566,3545.9006061796
14443,15,-2,0.27059483099148,3783.0575409547
14466,15,-6,0.1531205705468,3717.54697427673
14514,15,-5,0.336881740231517,3149.61006139428
14549,15,0,0.315186154161857,3060.68871986014
14558,15,-7,0.349778443960848,3407.85953423335
14584,15,-9,0.3652034176665,3562.69737305398
14598,15,0,0.36255235105547,3414.87768341175
14651,15,-9,0.403535110700699,5690.17546012852
14677,15,0,0.361684342790593,3104.79534437305
14682,15,0,0.425118523540142,3726.57623823527
14686,15,-6,0.304070272030583,2905.46921059911
14690,15,-7,0.169991941927832,6079.83846921545
14743,15,-9,0.29594600781449,2972.46615618853
14748,15,-1,0.355760744021471,8359.12447157233
14777,15,0,0.301755571135312,3222.48236613841
14802,15,-3,0.327468113603564,2971.37858084342
14882,15,-9,0.276847505644734,2469.42940981149
14954,15,-8,0.292213876088677,7014.68327456457
14957,15,-9,0.361488352922395,3038.00584546248
15102,15,-7,0.465041343676918,3049.27821843217
15105,15,-5,0.413827546604979,6573.10176978841
15136,15,-1,0.243151301801761,2938.24069057482
15176,15,-8,0.296918365781084,3966.43479869808
15180,15,-6,0.40785419069551,7606.27248057839
15226,15,-9,0.477843764129226,2936.24477405336
15243,15,0,0.336960845750643,2510.28890090942
15257,15,-6,0.231458843328525,7904.39126433418
15293,15,-3,0.285645494725885,3967.45535883103
15361,15,-2,0.240980808771547,6847.56170469746
15403,15,-9,0.277429149565373,6974.69290425995
15458,15,-5,0.511332894183626,5740.79387447351
15469,15,-1,0.384520120092801,6514.80512499086
15490,15,-3,0.228513493636645,6811.10846301399
15538,15,-3,0.284098707222527,6734.4162029816
15552,15,-5,0.434532569933535,6791.16651975734
15582,15,-9,0.423316812117857,5881.85172195546
15638,15,0,0.381424586727102,6743.0649439536
15639,15,-8,0.243738183858693,6679.26372149397
15672,15,-8,0.372632793246491,6946.66304258927
15714,15,-7,0.307031126928859,6815.3798402444
15763,15,-9,0.301275643089217,3223.7379793798
15798,15,0,0.362235348047043,728.605920182144
15807,15,-3,0.308887051709061,3078.85487518924
15811,15,-9,0.404769308187056,6827.85527048754
15815,15,-7,0.393236532531332,2995.00702384575
15883,15,0,0.41149078807911,2852.61023666082
15926,15,-9,0.57750471186642,2528.5598485955
15943,15,-9,0.50290521019331,2829.55777618328
16144,15,-2,0.218595013560434,14355.2316796374
16158,15,-2,0.496379125566242,13705.0843259335
16286,15,-1,0.196578737932646,4493.89404994865
16310,15,-8,0.26536375879477,4767.47837810979
16314,15,-7,0.497870628211479,4788.52800698999
16322,15,-2,0.293918855152733,4454.56886107276
16328,15,-2,0.321404348494398,4717.0856694802
16342,15,-8,0.226569353713628,4587.71267232851
16372,15,-4,0.263609205959492,4912.35952258484
16387,15,-4,0.38160946249556,13941.9563066513
16389,15,-5,0.195424647371801,4941.18049445229
16391,15,-7,0.431327485620835,13967.8426930948
16392,15,0,0.201336988565015,14003.8728522989
16405,15,-1,0.318647403835759,14045.532718168
16412,15,-9,0.340735410013319,4910.28636522259
16453,15,-8,0.256052543068004,14483.8129167804
16471,15,-8,0.44590382831353,14898.34223164
16482,15,-8,0.341188482513624,14398.6214550633
16516,15,-6,0.288361033109445,13716.8982472386
16520,15,-9,0.420036146876097,15130.3652525649
16532,15,-4,0.317791311020925,14551.7444502022
16551,15,-7,0.340160023306645,14393.9554290778
16573,15,-2,0.345230276720358,15000.8370800004
16591,15,0,0.303484420434467,14310.0855735657
16602,15,-8,0.379964879880455,14689.7146063587
16605,15,-8,0.492578710541634,14819.6456884822
16631,15,-9,0.507884190036983,14618.4893288216
169767,15,-3,0.315588805655551,3647.12275598817
170907,15,-7,0.472897716511558,3793.49571485021
178658,15,-3,0.286399450205036,3045.68815474192
183104,15,-6,0.282136954123006,4756.14047591304
1317590,15,-9,0.544977901985454,4898.36423074514
139,67,-4,0.368109950801503,10700.5236718027
140,67,-4,0.249352284747881,10499.5837839184
142,67,-1,0.306088238627963,10995.8775329318
144,67,-8,0.337487018492151,11316.5387166126
165,67,-2,0.322277967447701,14747.7178570145
786,67,-5,0.253119873785899,816.759859740803
792,67,-9,0.45079047916377,676.166000946556
809,67,-3,0.339612988426896,567.108278283297
811,67,-2,0.184795717979688,1874.59920251352
819,67,-3,0.298883379335534,1843.10758927611
823,67,-5,0.315680188862927,2626.30235519715
825,67,0,0.272993348591339,1624.44666045689
830,67,-9,0.241015987638353,2994.98415270338
835,67,-9,0.26510658981666,1763.90278329072
1227,67,0,0.158395751122112,9793.96471139609
1242,67,-3,0.32663992678061,8960.44869119941
1260,67,-2,0.317781621218077,9914.1548358057
1275,67,-6,0.282987084917413,8735.15588671604
1292,67,-7,0.272825477185062,9740.25289302078
1294,67,-8,0.354301895616508,9759.46580090601
1298,67,-6,0.187998104454136,8750.4885110125
1302,67,-3,0.153407342977052,9189.94288715314
1310,67,-7,0.288338942040623,9758.69978474467
1316,67,-5,0.290900175687576,10940.9739759428
1326,67,-3,0.293903125026719,10477.2520727672
1342,67,-2,0.330710992638678,10484.5839164725
1355,67,-1,0.298022651320428,11010.8550043407
1358,67,-2,0.335748115531086,10811.7222032688
1368,67,-2,0.277949876623176,9513.43172185784
