lib,target,optlag,Optlag_rho,Dist
15,14,-4,0.260379585150576,4906.32345750507
132,14,-9,0.363804389883889,1596.56725577361
138,14,-6,0.285908726159324,1156.09531085997
150,14,0,0.274682963067415,1482.83648078222
152,14,-8,0.178209485955539,2898.02125251371
153,14,-6,0.301399933983321,5814.40125157536
166,14,-6,0.308116591999256,5884.37352709341
171,14,-9,0.27405918264725,6699.2099144878
790,14,-6,0.24138005779426,10946.4203146763
791,14,-1,0.268827155647119,10961.4303551829
797,14,-2,0.331050899962173,10555.5721820691
798,14,-2,0.332872289042223,11179.4898726692
805,14,-5,0.192657684522369,10085.399221842
808,14,0,0.253925639696623,10730.6130660337
811,14,0,0.436917339781216,10802.9024533264
822,14,-1,0.307359354139812,10494.9261120673
825,14,-9,0.441623487383174,11129.3981139316
826,14,-3,0.376369968742929,10868.2827752785
836,14,-9,0.246232612400434,11308.2696796097
838,14,-7,0.349680119502463,11263.9123925285
1260,14,-8,0.362528782127284,1326.27299824171
1265,14,-2,0.365366516929903,1935.13397221441
1279,14,-1,0.359048081031415,1980.38525164232
1284,14,-6,0.366025877852342,2059.3410929233
1292,14,-9,0.286533336508483,2025.55155846088
1294,14,-9,0.256867119723311,2037.21653642722
1296,14,-1,0.27882244582675,3356.30516751095
1298,14,-9,0.301105946562643,3939.15357008444
1301,14,-7,0.29037275105144,3389.76047660445
1319,14,-6,0.358392594999611,2019.44713804371
1324,14,-3,0.30148999857874,970.567250774757
1327,14,-4,0.358304759723553,935.520268633596
1333,14,-1,0.327757816101838,901.720613812304
1340,14,-9,0.337904900304358,1970.6859034804
1345,14,-3,0.241962887301908,1087.04895474924
1362,14,-2,0.355110360795268,950.563614545472
1392,14,-4,0.4127816675906,1257.09217146173
1394,14,-8,0.255484644359088,4214.24645635573
1401,14,-3,0.21926153503773,2538.94171342873
1432,14,-6,0.242205382329573,1947.42729194175
1455,14,-3,0.232797940655679,2263.02732504604
1482,14,-4,0.294244715926157,2263.40362388731
1487,14,-7,0.369927348743098,3321.84041364192
1494,14,-1,0.245748164282314,2920.36064793469
1498,14,-4,0.316957857647996,3098.06146438793
1499,14,-7,0.29592311776137,4141.37717707149
1502,14,-7,0.304498827360644,3574.95164600112
1511,14,-9,0.203264130751095,3470.1963865535
1519,14,-2,0.313825916670225,3710.48400692225
1530,14,-4,0.372748547731555,5412.033117802
1543,14,-1,0.253900647609243,3794.6863797486
1548,14,-9,0.336663322314251,3540.37286630723
1550,14,-1,0.222754707684705,6131.50344287493
1564,14,-3,0.286363232624774,4023.07703147041
1575,14,-9,0.288994502009616,4245.59187497818
1585,14,0,0.299143946893396,4843.97918795033
1605,14,-4,0.409188596730199,5254.89487247179
1640,14,-7,0.207566699211862,11777.9059301231
1650,14,-5,0.364776597011961,12071.8792332484
1653,14,-8,0.222034711978724,7578.64954574749
1661,14,-3,0.296681034037531,7934.31254197367
1667,14,0,0.358763282024256,11450.821707666
1678,14,-8,0.409793806665598,8468.41451481235
1688,14,-7,0.261602780975026,12206.4090397138
1690,14,-2,0.36822307620881,12237.399922409
1692,14,-3,0.387407315534942,12200.6685590618
1694,14,-6,0.283215805404092,12802.3480031421
9197,14,-7,0.403689981901521,10576.8286780418
9213,14,-8,0.452031664742601,10609.3345175816
9322,14,-1,0.333173247268449,10715.8824193933
9328,14,-3,0.370719957435545,10878.9687180076
9340,14,-4,0.448227128141822,10061.7441139975
9348,14,0,0.276077469913338,10885.7555425427
9382,14,-3,0.342092581923397,11007.4406843963
9404,14,-1,0.280364488200858,10845.9278499092
9411,14,-9,0.239883911221014,11069.2117330073
9428,14,0,0.345363111296366,10742.6879496631
9430,14,-6,0.358376869614597,11189.4284793156
9431,14,-2,0.202933891285414,10620.5124773301
9457,14,-7,0.23692084900515,11197.9143120435
9458,14,-8,0.246235308489515,10819.2659211465
9460,14,-2,0.430442657224909,11227.2173302455
9464,14,-3,0.213498771883097,11087.8990025148
9492,14,-1,0.330730088326817,11352.315829255
9523,14,-3,0.214788896425211,11444.4000814933
9543,14,-9,0.212905451715444,11296.225838618
9547,14,0,0.238608141171484,11322.3206120165
10147,14,-3,0.396434573205551,10648.420641988
13545,14,-5,0.35766657526204,3760.15112584401
14059,14,-6,0.318631658800612,2948.53158154938
14072,14,-6,0.2714309740709,1912.99082651681
14133,14,-2,0.394356477454415,1648.92950681176
14140,14,-2,0.220149847091998,3583.4511143318
14203,14,-8,0.376037666488267,2015.27093978093
14215,14,-5,0.303772379200086,1993.60140682049
14221,14,-7,0.311059228031797,2159.10395216648
14235,14,-1,0.280626243047623,2006.150643681
14240,14,-6,0.277023167885404,4372.04898023517
14259,14,-7,0.394375315829693,4377.50343347113
14306,14,-9,0.385225226650713,2389.75640569544
14309,14,-8,0.298734446119928,2149.33836159791
14333,14,-3,0.301380267698815,2987.04117256539
14353,14,-7,0.424171130455038,4056.10684284356
14395,14,-2,0.196483828690554,1288.69641209367
14439,14,-9,0.315633946302269,3151.04507946784
14442,14,0,0.221941403361104,4607.39990491173
14443,14,-7,0.265901936464221,5001.54746489083
14550,14,-3,0.266469450943745,1289.61077731208
14555,14,-3,0.379191466165725,4874.27842520965
14577,14,-8,0.13987187393615,4890.86000779651
14600,14,-9,0.469335381281651,957.773866371636
14601,14,-7,0.340821153413497,4509.84331091586
14654,14,-7,0.335371535169899,2727.95592702483
14674,14,-6,0.399833211235716,2160.97068577802
14748,14,-5,0.188159887509854,3603.67333142476
14777,14,-3,0.206166404033644,4960.89153209733
14789,14,-6,0.284229485643782,3521.41200510175
14954,14,0,0.290790537977296,2468.28015605146
15105,14,-9,0.265353539516854,2206.57604963585
15226,14,0,0.283540972927783,1971.58699950089
15254,14,0,0.399223762549397,2449.21756484878
15376,14,-7,0.181045162992621,2870.07639270557
15458,14,-8,0.423832110727966,2103.3912651623
15538,14,0,0.434289512788435,2983.68351165731
15638,14,-7,0.319883873831317,3284.15059805342
15639,14,-4,0.305122846834326,3247.32921489214
15716,14,0,0.241306134449794,6108.96568595747
15805,14,-9,0.237430157017748,5510.23227780589
15807,14,-4,0.240467764652069,3468.98263404754
15811,14,-9,0.197942618613377,4035.31647961366
15812,14,-1,0.437194945585724,3516.83155390678
15815,14,0,0.26545743159217,3524.63397460559
15961,14,-3,0.28080674703475,4955.83633487342
16023,14,-1,0.307677351704088,5401.53121453542
16190,14,-4,0.23567926748718,6453.44416867236
16247,14,-6,0.262317252135798,6829.12986042947
16286,14,-4,0.353696779252837,7320.27400752243
16306,14,-2,0.320890564649419,7524.87128114712
16311,14,-3,0.377969841813529,7584.90550472541
16312,14,-2,0.347791429896173,7544.35032780044
16314,14,-6,0.218427263972363,7559.81720882853
16328,14,-4,0.291623545724318,7651.34141412549
16355,14,-8,0.290618337506201,11440.764485116
16424,14,-2,0.229180634199756,8157.08592407047
16455,14,-1,0.290929679937434,8194.64444723061
16471,14,-6,0.375905151894838,12426.7967609268
16504,14,-5,0.213575766047098,11637.7455870142
16550,14,0,0.333812933982957,12217.9957619083
16573,14,-9,0.37046722026183,12752.4241940982
16605,14,-8,0.297060478318361,12677.9831362836
16631,14,-4,0.402422387444612,12752.0213464942
170907,14,-3,0.400693666788004,2018.22215866152
173367,14,-6,0.34220035978617,2749.9505313836
1318849,14,0,0.18668832715705,4557.19775558993
1320080,14,-1,0.178106098537676,4532.82744337327
139,15,-8,0.272673286291763,4259.76477869149
154,15,-2,0.301127500296061,2521.18061534851
165,15,-8,0.295022696971337,2990.54757858416
792,15,0,0.277973556503512,12500.6687952542
813,15,-6,0.294356030524417,9602.74579703586
819,15,-8,0.192365548400265,10705.2042717808
821,15,-2,0.237970483804939,10400.9655824302
822,15,-6,0.333867440894478,9795.82826839661
824,15,-1,0.321614471937162,9674.66552098474
1242,15,-5,0.311702717623905,3813.40204346079
1251,15,0,0.211936796051082,3720.23084872241
1296,15,-3,0.265059161718002,3457.4744197085
1303,15,-2,0.288268743423044,3221.75202864732
1313,15,-1,0.264825819157673,4390.77622231025
1333,15,-9,0.30237168179628,4024.47348006152
1340,15,0,0.318350171293951,3189.26291713805
1342,15,-1,0.30906452195266,3122.93978704162
1353,15,-3,0.31398865791936,8339.89756742802
1355,15,-4,0.218042462595111,3837.12520840461
1358,15,-3,0.21125197652536,8840.16379344952
1374,15,0,0.34297006494283,7914.33334108281
1432,15,-2,0.273198625360854,2959.3217812507
1482,15,0,0.256043537556677,5774.74518588264
1492,15,-4,0.337398845071079,2051.92007263157
1498,15,-7,0.346969290468171,6785.89739645099
1530,15,-7,0.304962045893247,9312.95983403277
1537,15,-9,0.335940258912677,886.830124026333
1605,15,-6,0.231495614963878,3198.70389516882
1627,15,0,0.220852043815064,3887.55536968119
1663,15,-5,0.349379189243327,5004.31002307942
1678,15,-2,0.342809653979076,5037.4628905333
1690,15,-1,0.243874527200853,14251.9754030739
9322,15,0,0.29254135332529,10546.6221551599
9335,15,0,0.248524947309001,10816.0549332551
9404,15,-3,0.184345918860981,10428.6370007235
9431,15,0,0.349940290416929,9863.84952090318
9434,15,-7,0.344135768546041,10838.6965160821
9443,15,-7,0.250951556557589,11085.3330335249
9446,15,-2,0.274695920416555,11040.9814125915
9452,15,0,0.255461043229634,10045.0580310787
9492,15,-9,0.414883227199704,11171.0453442932
9498,15,-8,0.265616083013021,11386.8106757372
9537,15,-6,0.29216624150832,10738.2234380272
9543,15,-7,0.30044309160275,10645.9698888389
9547,15,-3,0.416773939115749,10699.3610503327
9556,15,-4,0.259655247307546,10579.7554165741
9585,15,-4,0.268992243730918,10639.8600332351
14052,15,-8,0.311876784264726,3732.49856376653
14242,15,-7,0.309552558070087,3795.03728190075
14305,15,-8,0.337045089332259,3636.84414482232
14386,15,0,0.350255455470405,3702.85883412409
14438,15,-4,0.225397111527177,3151.85980169354
14442,15,-3,0.204743208830139,3545.9006061796
14471,15,-6,0.244914188684776,3660.52147634459
14499,15,-6,0.471750044035405,3087.52198026566
14558,15,0,0.216796032537123,3407.85953423335
14577,15,-9,0.20263890508028,3489.6010831146
14599,15,-2,0.285182969740445,3390.86129671399
14601,15,-8,0.284097506757842,3199.13335751896
14667,15,-5,0.244707303897208,2885.51693414049
14677,15,-3,0.280443909925442,3104.79534437305
14682,15,-5,0.284331008310268,3726.57623823527
14723,15,-6,0.215528877997352,3088.75220162408
14954,15,0,0.234677467070134,7014.68327456457
15014,15,-2,0.206694537974051,7619.42973648625
15105,15,-9,0.236921646402837,6573.10176978841
15361,15,0,0.255020236664308,6847.56170469746
15419,15,-9,0.36096551399428,7772.77333248018
15530,15,-5,0.35649396093742,7677.17538144382
15606,15,-4,0.289998961541403,6806.23754094984
15638,15,-5,0.239938416456911,6743.0649439536
15714,15,-1,0.35161078795894,6815.3798402444
15763,15,-9,0.267593608213661,3223.7379793798
15943,15,-2,0.396781998347614,2829.55777618328
15950,15,-8,0.369676793889917,2865.28844202941
15961,15,-4,0.244876836017389,3027.81606035566
16245,15,-4,0.406644036220197,4985.42976151587
16306,15,-3,0.238164650072378,4760.00812464227
16322,15,-8,0.435179399797267,4454.56886107276
16355,15,-7,0.236679153832769,14004.368555085
16374,15,-3,0.342265083871086,4816.98498340261
16415,15,-5,0.343651324524176,4847.6234115537
16432,15,-2,0.270317560652873,14012.5427421823
16453,15,0,0.293922732250676,14483.8129167804
16478,15,-2,0.278324847326365,4963.20510492161
16482,15,-2,0.294307159907123,14398.6214550633
16551,15,-9,0.348478509488697,14393.9554290778
16605,15,-7,0.305434665506459,14819.6456884822
16623,15,-7,0.259824056305659,14365.0486910504
171064,15,-2,0.35174933004464,3789.98683591326
14,15,-5,0.270960754390528,4906.32345750507
178658,15,-5,0.243538187470853,3045.68815474192
132,67,-3,0.233676908108397,9822.5192126333
137,67,-2,0.30079658358712,10741.1219485926
138,67,-7,0.319493825115716,10925.7072809313
139,67,-5,0.444593551072067,10700.5236718027
142,67,-6,0.329906201726163,10995.8775329318
165,67,0,0.277032319539257,14747.7178570145
171,67,-6,0.198262978755496,15602.9612695654
175,67,-7,0.541612661132685,13647.1399374247
786,67,-8,0.246427011598427,816.759859740803
789,67,-3,0.305977577957569,665.263668956806
790,67,-5,0.443835631541875,733.687616017737
792,67,-2,0.467360556374971,676.166000946556
794,67,-7,0.377684946796063,900.500067959279
795,67,0,0.26407253333803,591.179429707895
797,67,-5,0.247198090185398,1737.0881840038
804,67,-6,0.327611822073104,1738.93350499156
809,67,0,0.243035742814759,567.108278283297
816,67,-6,0.387540527021955,2483.57231449634
825,67,-9,0.431586354566099,1624.44666045689
826,67,-5,0.500822810525924,2170.71908630518
829,67,-6,0.480150769000198,917.478645329188
832,67,-2,0.288386781810076,1735.75411753853
842,67,-5,0.433419921539814,2327.01275502197
843,67,-7,0.23977773300187,2182.83242337388
844,67,-5,0.205877234180638,2138.1693364811
1227,67,0,0.25538140131577,9793.96471139609
1242,67,-9,0.381136032895498,8960.44869119941
1251,67,-2,0.267005300233082,9092.05980589615
1260,67,-3,0.332794446611783,9914.1548358057
1265,67,-4,0.377922803672602,9649.96809019471
1275,67,0,0.376166445988169,8735.15588671604
1279,67,-1,0.2586398268084,9681.16790340282
1294,67,0,0.35941919965109,9759.46580090601
1298,67,-1,0.406514342937855,8750.4885110125
1301,67,-2,0.315370648332022,9151.79921363251
1303,67,-6,0.387412465918933,9585.94394292435
1310,67,-9,0.201038636396674,9758.69978474467
1321,67,-2,0.431773933380407,10182.7372957254
1324,67,-1,0.42034467084242,11026.5511625033
1327,67,-7,0.401080157424103,11106.3301963012
1333,67,-9,0.347363211471436,10838.7979848173
1339,67,-2,0.272672100130209,10908.8307758922
1340,67,0,0.409760636885855,10480.7878262753
1342,67,-3,0.194711103783727,10484.5839164725
