lib,target,optlag,Optlag_rho,Dist
117,14,-5,0.370246318482266,3789.17383260849
132,14,-7,0.330088744115702,1596.56725577361
146,14,-9,0.424075904252134,1298.96980922609
150,14,-9,0.398262107362991,1482.83648078222
153,14,-8,0.311461972473477,5814.40125157536
161,14,-9,0.265851467888796,4890.11442857721
166,14,-8,0.475142445329539,5884.37352709341
170,14,0,0.371445086981213,6536.60208965303
789,14,-4,0.266112771991161,10943.4762305784
794,14,-1,0.247110105860275,11091.4548241382
797,14,0,0.354829175317954,10555.5721820691
805,14,-8,0.387174065387649,10085.399221842
806,14,0,0.253553457188508,10787.8197616536
808,14,0,0.179781602329937,10730.6130660337
809,14,-3,0.281364076401114,11318.1272332932
811,14,0,0.336914705181116,10802.9024533264
815,14,0,0.280028868849309,10959.3156641567
832,14,-1,0.363322782627267,11208.9550142813
835,14,-4,0.30332205576062,11276.8099569745
841,14,-2,0.284576998025238,11392.816188533
1227,14,-4,0.367095656905304,1016.10070613024
1279,14,-6,0.401647261539789,1980.38525164232
1282,14,-8,0.305613847247991,3455.26364213755
1284,14,-8,0.350291689693107,2059.3410929233
1292,14,-9,0.266078520213386,2025.55155846088
1296,14,-1,0.339547584968154,3356.30516751095
1298,14,-9,0.306849332219107,3939.15357008444
1307,14,-1,0.259308231143078,1220.56361061679
1316,14,-9,0.306949739054845,927.677409424407
1319,14,-9,0.363555317529343,2019.44713804371
1322,14,-8,0.220344055990997,2155.00387424453
1324,14,-6,0.245166931674688,970.567250774757
1326,14,-9,0.321019164130457,1704.5511517884
1340,14,-9,0.392791133330519,1970.6859034804
1342,14,0,0.467000270259849,2042.25792128627
1345,14,-8,0.324449714699797,1087.04895474924
1348,14,-4,0.213081378458682,1317.47433302254
1355,14,-3,0.287165592544182,1070.43710243376
1368,14,-8,0.49155689355461,4047.37679378596
1389,14,0,0.36122735242952,3182.43432431614
1392,14,-9,0.217844932995503,1257.09217146173
1410,14,0,0.254034461359559,3806.47292790535
1423,14,-3,0.288181689678385,2257.1227222304
1432,14,-2,0.381123110652318,1947.42729194175
1455,14,0,0.312909987258304,2263.02732504604
1482,14,0,0.485131465556971,2263.40362388731
1484,14,-9,0.301104401445295,2769.18855003448
1492,14,-1,0.277014762786284,2924.24554572274
1494,14,-8,0.278061939623472,2920.36064793469
1495,14,-2,0.44534684391908,2901.40467070218
1498,14,-1,0.408119723524745,3098.06146438793
1503,14,-1,0.440574416233153,3679.96128290098
1504,14,-3,0.288020515260081,2924.22770434483
1507,14,-7,0.337719234124777,3180.46137022596
1509,14,-6,0.389636497517239,3419.81585488587
1511,14,-8,0.420279839352565,3470.1963865535
1519,14,-6,0.233201496056703,3710.48400692225
1520,14,0,0.35626252170643,7138.35145148242
1527,14,-1,0.222356716350622,3637.48241083634
1539,14,-4,0.348765529909922,3345.61759847584
1548,14,-5,0.194213513864352,3540.37286630723
1550,14,-9,0.551964171017253,6131.50344287493
1575,14,-2,0.391185983800771,4245.59187497818
1582,14,-9,0.372922721542871,4821.73139203862
1612,14,-4,0.359839336806076,5656.72115404891
1627,14,-5,0.329461327534252,6486.35053766477
1643,14,-8,0.314623036941546,11753.1134487
1647,14,-3,0.235568627547305,10785.6303015094
1653,14,-2,0.330698779904565,7578.64954574749
1661,14,-4,0.394139528784384,7934.31254197367
1663,14,-2,0.372461995609673,7990.04264146821
1669,14,-9,0.413679341845976,11800.8487456413
1678,14,-4,0.369155703312835,8468.41451481235
1688,14,-1,0.374835934469536,12206.4090397138
1692,14,-5,0.244465409534714,12200.6685590618
1693,14,-5,0.308160314739925,12418.8023851826
8580,14,-4,0.223715739415129,10185.768065968
9197,14,-1,0.343183250592654,10576.8286780418
9243,14,0,0.265978169813168,11137.7960640831
9300,14,-1,0.23501561738784,10842.2389380582
9332,14,0,0.410290611353221,10374.549121185
9335,14,-6,0.319399332354401,10868.1216100017
9344,14,0,0.302181230934965,10193.9231239307
9348,14,-3,0.288207383595964,10885.7555425427
9360,14,-4,0.48980697581256,11405.9174603205
9382,14,0,0.368652825298408,11007.4406843963
9389,14,-3,0.237761776611647,10406.7291873518
9398,14,-8,0.429455372457568,10968.1574588141
9404,14,0,0.235115060224992,10845.9278499092
9420,14,0,0.29853326133396,11048.4178791379
9431,14,0,0.286158823738849,10620.5124773301
9446,14,-8,0.324138784895177,11204.69900573
9523,14,-7,0.265594645314004,11444.4000814933
9556,14,-8,0.303899470612877,11281.6269032619
9585,14,-5,0.396740883514968,11335.5071544438
14072,14,-5,0.287394470114164,1912.99082651681
14133,14,0,0.186509849819681,1648.92950681176
14159,14,-8,0.409971669595469,3629.33697753349
14162,14,-4,0.216065642024345,3603.08827375737
14167,14,-4,0.315224123211987,3824.89406583662
14176,14,-9,0.402381574174664,3467.00580295111
14204,14,-7,0.188754557608619,2102.42379228445
14210,14,-5,0.42380375519609,1498.71480784387
14218,14,-2,0.424251146424792,1393.97668566102
14221,14,-3,0.259311254560761,2159.10395216648
14230,14,-6,0.369988195233355,1451.71078347766
14235,14,0,0.387795144115647,2006.150643681
14289,14,0,0.293863969002822,4394.1817685893
14305,14,-3,0.430879708609062,2133.36215538265
14306,14,-7,0.345317017689991,2389.75640569544
14418,14,-8,0.285185948388959,3402.67308128232
14431,14,0,0.35688862116978,625.01176720233
14438,14,-3,0.216091088476341,3124.1726917845
14471,14,-9,0.273451938432182,4903.94370030639
14555,14,-1,0.381737817770507,4874.27842520965
14598,14,-9,0.361711666707049,4871.92911555738
14600,14,-6,0.290881085081245,957.773866371636
14651,14,-4,0.306877989314447,985.635855920418
14653,14,-6,0.367691949992793,4913.22055626204
14690,14,-7,0.258542648226669,1397.05378273456
14769,14,-2,0.436658295261504,3774.55683606339
14777,14,-6,0.259030728919005,4960.89153209733
14802,14,-9,0.354461548331827,2200.24356150963
14816,14,-4,0.388678572990415,3819.45773463122
15000,14,0,0.329333146632719,5099.67867081611
15102,14,-4,0.333122520056081,5422.84436539906
15105,14,-6,0.227700983475764,2206.57604963585
15136,14,0,0.361953343364807,5345.42267663964
15180,14,-3,0.313123599966524,3145.82506635382
15194,14,-4,0.252227320899897,2325.24793706274
15226,14,-9,0.268025273577485,1971.58699950089
15235,14,-9,0.295071335929253,1982.07238171365
15254,14,-6,0.203859127079394,2449.21756484878
15265,14,-1,0.429523130244028,3046.11547437973
15273,14,-9,0.44518427224734,1339.08416683681
15293,14,-3,0.421813800860977,1289.34046383785
15458,14,-7,0.466113461083928,2103.3912651623
15502,14,-2,0.322653224770814,2942.87933237735
15530,14,-4,0.274623506544254,3642.80291457019
15606,14,-1,0.456532790867602,3201.58509559365
15638,14,-9,0.491132803359989,3284.15059805342
15639,14,-9,0.406261328285748,3247.32921489214
15714,14,-8,0.488147475765336,3610.77200008585
15716,14,-4,0.432372849464611,6108.96568595747
15748,14,-5,0.500615878384519,3880.96957651646
15751,14,-9,0.37022063748897,3912.50701204241
15798,14,-2,0.230839729241835,5496.65392582493
15811,14,-4,0.265383670409837,4035.31647961366
15852,14,-3,0.248467818329019,3846.12881502031
15873,14,-9,0.23494079163034,4634.21452819211
15883,14,-2,0.29753171608142,4045.59450854186
15943,14,-4,0.369626534962492,4881.43080463031
15950,14,-6,0.302621551314989,4946.22643407492
15961,14,-5,0.348199725026141,4955.83633487342
16023,14,-2,0.43515647310065,5401.53121453542
16144,14,-6,0.322882507294277,10849.3761039166
16234,14,-5,0.352644648136563,6726.97076603794
16245,14,-9,0.470992555173379,6812.48563524438
16246,14,-3,0.268922343672945,6816.82390336259
16282,14,-1,0.244470114808235,7416.53242484258
16306,14,-4,0.295592111373057,7524.87128114712
16320,14,-4,0.406862842709615,7575.60751586175
16328,14,-1,0.42540704754718,7651.34141412549
16329,14,0,0.421444243310815,7789.8190736641
16330,14,-9,0.291357347015519,7399.5229721515
16331,14,0,0.340675192196817,7694.27346840307
16342,14,-4,0.405579430755891,7891.0778680824
16351,14,-7,0.267578423667266,7791.77969193412
16368,14,-9,0.305241724235144,11454.0218009459
16372,14,-8,0.481461191922284,7865.12731475023
16387,14,-9,0.227571906649787,11467.5002469113
16413,14,-7,0.314321451054843,11627.4046618547
16415,14,-6,0.21700766617392,8217.45303466604
