lib,target,optlag,Optlag_rho,Dist
77,14,-4,0.217695151771101,11108.2076244288
138,14,-3,0.167684435602562,1156.09531085997
139,14,-8,0.120361256824777,698.981212004335
140,14,-6,0.219192396833845,1743.37420493578
153,14,-8,0.293766349222909,5814.40125157536
161,14,-8,0.12953062101406,4890.11442857721
166,14,-9,0.297402462112143,5884.37352709341
171,14,-6,0.151082401063904,6699.2099144878
790,14,0,0.188834629177182,10946.4203146763
794,14,-7,0.191967224371885,11091.4548241382
795,14,-5,0.155401382648641,11101.0666103523
796,14,-9,0.140820482233735,10577.6899345034
801,14,-3,0.166581388723358,10559.0824554782
804,14,-9,0.20107279410808,10733.2833293253
807,14,-2,0.177006294488298,10822.4268429618
808,14,-9,0.0948983909685319,10730.6130660337
809,14,-9,0.252203052751295,11318.1272332932
811,14,-5,0.122790394138879,10802.9024533264
815,14,-7,0.211964926955249,10959.3156641567
816,14,0,0.186060255453738,10527.9718280183
822,14,-8,0.180164300317112,10494.9261120673
823,14,-1,0.237868932773628,10569.5811507819
825,14,-2,0.160400793043235,11129.3981139316
826,14,-6,0.202582114826325,10868.2827752785
831,14,-7,0.153253147092261,11502.0340863415
835,14,-3,0.116865617659418,11276.8099569745
836,14,0,0.27276961439714,11308.2696796097
841,14,0,0.264450007322359,11392.816188533
951,14,-1,0.235308561031194,12118.4951915415
1237,14,-8,0.1035046587041,919.965071790805
1279,14,0,0.144784013827535,1980.38525164232
1292,14,-9,0.184029747183251,2025.55155846088
1298,14,-9,0.157361183401153,3939.15357008444
1302,14,-4,0.19670544762479,3415.87707500091
1312,14,0,0.20391762063075,2713.91907940514
1316,14,-9,0.157495878230917,927.677409424407
1322,14,-1,0.187544932419417,2155.00387424453
1324,14,-1,0.181705975330496,970.567250774757
1340,14,-7,0.205138561606329,1970.6859034804
1358,14,-9,0.226396885476376,4095.60655626644
1374,14,-1,0.231296680672334,3262.59263185998
1392,14,-1,0.172832600415759,1257.09217146173
1393,14,-8,0.221252313457236,4186.72344550803
1394,14,-4,0.166381889296297,4214.24645635573
1407,14,-8,0.116776123688902,1262.61094151209
1409,14,-1,0.220153461097612,3795.38761344519
1410,14,0,0.198612408673442,3806.47292790535
1414,14,0,0.142071835755239,1853.43572310638
1421,14,-6,0.250400420369038,1242.87944356356
1481,14,-2,0.255355897410232,2743.60135317815
1482,14,-1,0.23478111618793,2263.40362388731
1487,14,-7,0.143740916670106,3321.84041364192
1495,14,-3,0.166582707192778,2901.40467070218
1503,14,-5,0.152405879629499,3679.96128290098
1504,14,0,0.195300046752642,2924.22770434483
1509,14,0,0.212421678858781,3419.81585488587
1511,14,0,0.29788483441217,3470.1963865535
1519,14,-2,0.182671305014761,3710.48400692225
1530,14,-1,0.296607091669015,5412.033117802
1539,14,-4,0.159271774460278,3345.61759847584
1563,14,-1,0.142862894144881,4016.74878996605
1564,14,-3,0.223588774170094,4023.07703147041
1575,14,0,0.142006170873127,4245.59187497818
1585,14,0,0.146378426536083,4843.97918795033
1605,14,-2,0.271504565834607,5254.89487247179
1612,14,-1,0.361837320089403,5656.72115404891
1627,14,-5,0.209414504714207,6486.35053766477
1635,14,-8,0.174035150241118,10929.7443089399
1640,14,-9,0.165190182978071,11777.9059301231
1644,14,-8,0.17506555911044,7085.79487991139
1660,14,-3,0.19531419353829,12673.5073202691
1669,14,-9,0.225217139186224,11800.8487456413
1678,14,-9,0.23339368717964,8468.41451481235
1694,14,-5,0.285949823842616,12802.3480031421
1695,14,0,0.138342811604497,12921.4328571323
9172,14,-9,0.129558993685283,10881.1390234638
9197,14,-6,0.217677968167275,10576.8286780418
9226,14,-4,0.220674618247357,10547.7622277457
9313,14,-6,0.153952238921778,10784.6623382201
9322,14,0,0.200175254086724,10715.8824193933
9328,14,-2,0.238635160696778,10878.9687180076
9332,14,-3,0.198896777524334,10374.549121185
9344,14,-6,0.225277742343119,10193.9231239307
9360,14,-5,0.166297365122683,11405.9174603205
9375,14,0,0.144585351128709,10469.3381499382
9398,14,-9,0.18072684673954,10968.1574588141
9399,14,-4,0.166115938579899,10655.6250256677
9430,14,-3,0.350880868354238,11189.4284793156
9431,14,0,0.193570813632987,10620.5124773301
9443,14,-1,0.225795229984156,11219.619078995
9446,14,-9,0.0926405944994567,11204.69900573
9504,14,-8,0.20141118129409,11375.1913157599
9516,14,0,0.258054074880092,10948.3702343818
9538,14,-7,0.223349446636744,11409.3203495057
9543,14,0,0.140887200566967,11296.225838618
10147,14,-2,0.140415424816893,10648.420641988
