X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
0,0.34553802999388,0,0,0,0.348345989163022,0.173246021189859,0.404264076017193,0,0.59991175512376,0,0.215277965365474,0.152727809211861,0
0,0,0.359824299929578,0,0,0.569954863253423,0.418005338610567,0.636232497482843,0.132716008273453,0,0,0.731846600763472,0.350959881951966,0.272529809085042
0,0,0,0.283187785713405,0.309860160584251,0,0.289607322917809,0,0.310288640649593,0.311024218037955,0,0.278771551726607,0.304366245929266,0
0.130123806274954,0.1207265887849,0.120171227905622,0,0,0.283510372013075,0,0.258216637806806,0,0.142662195172593,0.188642903110365,0.152656443578798,0,0.154948208743959
0,0,0,0,0,0.218046458009713,0,0.246364949848847,0,0,0.196410630412327,0,0,0
0,0.664971492987169,0.34033554865249,0,0,0,0,0.464255108492287,0.229267278008571,0,0.457388514068579,0.704454421879609,0.435597899875757,0
0.183399160780043,0.467775045054514,0.259170905072374,0,0,0.540347845486922,0,0.747564085296618,0.417315054613675,0.326943559431614,0.195891842440004,0.415686346240712,0.432900324440463,0.245924863124162
0.423220219774597,0.57150036137093,0.247716911359036,0,0,0.537377179953636,0.801008180988576,0,0.399106106327455,0.524375382900262,0.14292372826676,0.467960665572439,0.398310085174294,0
0,0.426535244277663,0,0,0.327344772729423,0.469757824762874,0,0.443100397345014,0,0.231459623173433,0,0.117172949300504,0.376878975357957,0.245647417934713
0.561333155880181,0.318003083830644,0,0,0.195038852113692,0.300146901708827,0,0.368028465161907,0,0,0,0.165993259247617,0.196522253063385,0
0.3791603345806,0.250580289685912,0.331769513571795,0.294419442894807,0.339700635768256,0.364270275485301,0.399955950210357,0,0.298226944053965,0.300823558822867,0,0,0.3429712371275,0.245434807316689
0,0,0,0.133991102583168,0.197380456840745,0.657211698055504,0.52734919649341,0.426391349472663,0,0,0.426815084611081,0,0.210493151502233,0
0.283420345544762,0,0.268999470090332,0,0,0.538445225662089,0.267321505316609,0.428897771483129,0.508276931793173,0.0809675956473877,0,0.264805052713911,0,0.322085130269704
0.152628360806633,0.414213716260467,0,0,0.0876433937748734,0.300900632102622,0.191532328261028,0.310828473021076,0,0.222471541190952,0,0.365005751926828,0,0
