AO,PDO,PNA,WP,EPNP,ENSO,AMO,TNA,TSA,NAO,EA,CAR,IOD,AAO
-0.409,0.57,0.25,0.49,1.23,-0.23,0.36,0.46,-0.26,1.11,-0.34,0.07,-0.08,0.151
-0.094,0.88,-1.46,0.4,1.92,-0.46,0.17,0.17,-0.12,0.23,-1.18,0.09,-0.565,0.46
-0.236,0.04,-0.28,2.08,3.36,-0.39,0.3,0.27,-0.08,-0.59,0.67,0.14,-0.384,1.195
-0.201,0.44,-0.33,0.34,1.19,0.46,0.37,0.46,0.08,1.16,-0.23,0.22,-0.301,1.474
-0.72,0.85,1.52,-0.03,0.07,0.77,0.46,0.68,0.22,-0.74,0.05,0.17,-0.132,-0.071
0.855,0.75,-0.11,0.26,-2.21,0.59,0.44,0.59,0.33,0.52,0.09,0.16,-0.106,0.254
-0.515,-0.11,-1.37,0.89,-0.71,0.4,0.56,0.62,0.14,-0.69,-0.6,0.18,-0.004,-0.042
0.678,-0.63,0.29,0.65,-0.26,0.56,0.52,0.63,0.24,0.63,-1.45,0.21,-0.153,-0.242
1.23,-0.17,-0.04,0.2,-0.2273,0.48,0.51,0.53,0.43,1.03,-1.19,0.14,-0.132,-0.973
0.356,0.44,-0.62,-0.93,0.73,0.09,0.48,0.46,0.61,1.26,-1.77,0.07,-0.124,-0.129
-1.271,0.81,-0.11,0.34,-0.29,0.61,0.31,0.38,0.49,-0.51,-1.96,0.1,-0.56,1.243
-1.348,1.36,0.56,-0.22,0.31,0.83,0.47,0.68,0.61,-2.32,0.95,0.17,-0.432,0.158
-0.046,1.03,1,-0.18,0.81,0.14,0.61,0.81,0.29,-0.47,1.54,0.25,0.084,0.355
-0.763,1.86,1.62,-0.08,0.09,0.19,0.54,1.01,-0.06,-1.11,1.03,0.28,-0.033,-0.297
-0.383,1.17,0.42,0.79,1.43,0.2,0.59,0.92,-0.26,0.26,-1.6,0.34,-0.176,-1.428
-0.03,0.66,-0.02,-1.2,-1.11,0,0.74,0.84,-0.32,-0.48,0.92,0.38,-0.384,-0.252
0.026,0.25,0.69,0.35,-0.6,0.01,0.74,0.74,0.01,0.35,0.56,0.35,-0.345,0.228
0.802,-0.46,1.32,0.57,-1.98,-0.02,0.73,0.73,-0.09,0.76,1.44,0.28,-0.534,0.241
0.03,-1.32,1.16,1,-1.6,-0.66,0.63,0.54,0,-0.55,0.57,0.21,-0.436,0.031
0.228,-1.5,-0.74,-1.84,0.35,-0.7,0.52,0.4,-0.07,-0.46,-0.36,0.17,-0.272,-0.551
-2.104,0.2,1.07,-2.04,-0.3791,-0.7,0.51,0.55,-0.02,-0.5,-1.22,0.12,-0.3,-1.968
-0.171,1.03,-0.1,0.71,-1.07,-0.64,0.48,0.41,0.04,0.97,-1.03,0.04,-0.135,0.339
-0.156,0.66,-0.44,2.06,0.57,-0.48,0.35,0.19,0.23,-1.02,-0.59,0,-0.305,-0.211
-1.604,0.05,-0.56,0.49,0.2,-0.62,0.27,0.18,0.41,-1.75,-0.68,0.04,-0.226,0.501
0.138,0.4,0.2,0.56,-1.57,-0.84,0.46,0.41,0.31,1.2,1.07,0.14,-0.015,-0.169
0.156,0.48,-1.03,0.19,-0.31,-0.42,0.52,0.43,0.24,-1.01,1.15,0.16,-0.207,1.695
1.071,1.04,-1.02,-1.15,-0.49,-0.18,0.59,0.52,0.41,1.15,0.02,0.11,-0.059,0.438
0.103,0.35,1.29,-1,-0.46,0.21,0.63,0.36,0.3,0.93,0.83,0.1,0.04,0.926
-0.265,-0.65,-1.45,-0.16,0.13,0.59,0.69,0.53,0.33,-2.35,-0.52,0.17,0.229,-1.727
0.607,-0.94,0.31,0.05,0.47,0.65,0.63,0.69,0.27,-1.43,1.82,0.26,0.428,-0.324
-1.029,-0.05,-0.76,0.67,0.97,0.77,0.67,0.74,0.23,-1.92,0.66,0.25,0.577,0.879
0.521,-0.22,-1.34,-1.84,-0.38,1,0.66,0.71,0.08,0.33,1.68,0.2,0.501,0.101
2.282,0.14,1.55,1.18,-0.2382,0.64,0.5,0.47,0.32,1.15,1,0.2,0.172,0.638
2.034,0.01,0.27,1.81,-1.14,0.64,0.6,0.46,0.24,-0.25,1.51,0.3,0.224,-0.083
-1.307,0.04,-0.42,0.15,0.93,0.39,0.52,0.56,0.21,-0.98,1.68,0.36,0.15,0.075
1.182,-0.36,-0.12,-1.06,-1.27,-0.19,0.42,0.33,0.04,1.11,0.21,0.37,0.116,-0.57
0.544,0.16,0.97,-1.61,-0.19,-0.32,0.39,0.4,0.24,0.04,-1.23,0.3,0.1,-1.035
0.894,-0.1,0.03,-0.66,-0.67,-0.41,0.35,0.21,0.28,0.66,1.01,0.22,0.27,-0.612
-0.555,0.09,-0.3,-0.17,0,-0.83,0.28,0.16,0.43,-1.01,0.55,0.16,0.03,-1.198
-0.397,0.78,1.65,-0.09,0.49,-0.75,0.26,0.09,0.23,-0.55,-0.03,0.13,0.045,-2.631
-0.034,0.5,1.96,0.02,-0.67,-0.9,0.19,0.01,0.15,-0.31,0.07,0.12,0.236,-0.108
0.179,-0.36,1.52,1.2,-1.29,-1.06,0.39,0.11,0.27,0.85,-0.52,0.12,0.235,0.031
0.384,-1.45,0.77,0.4,-1.96,-1.13,0.56,0.24,0.11,1,-0.33,0.09,0.068,-0.434
-0.519,-1.08,0.65,-0.04,0.68,-1.12,0.54,0.24,0.1,0.48,-2.07,0.11,-0.023,-0.984
0.821,-0.58,-0.16,0.37,-0.2656,-1.19,0.45,0.09,0.2,0.23,-0.12,0.06,-0.227,1.929
0.819,-1,-1.06,0.92,-1.25,-1.06,0.43,0.14,0.19,0.53,-0.35,0.06,0.115,1.208
0.938,-0.77,0.37,0.01,-0.4,-1.27,0.52,0.18,0.36,0.38,0.47,-0.01,-0.072,1.147
0.586,-0.71,-0.61,-1.35,-1.62,-1.52,0.49,0.27,0.6,-0.32,0.16,-0.02,0.097,0.587
-0.455,-1.52,-1.18,0.28,-0.5,-1.11,0.3,0.09,0.64,-1.31,0.88,-0.02,-0.153,-0.873
-1.205,-1.37,1.25,-0.66,0.21,-0.99,0.44,0.28,0.82,-1.55,-0.85,-0.01,0.178,-0.49
-0.09,-1.34,-1.76,-0.36,-1.13,-0.8,0.59,0.39,0.7,-1.09,0.85,-0.06,0.215,1.348
-0.48,-1.67,-0.51,0.02,-1.13,-0.78,0.51,0.45,0.66,-1.24,0.85,-0.08,0.246,0.32
-0.081,-1.7,0.89,-1.32,-0.36,-1.01,0.49,0.45,0.51,-1.62,-0.08,-0.06,0.124,0.087
-0.327,-1.55,0.89,-0.83,-0.11,-1.02,0.48,0.57,0.28,1.14,-0.3,-0.01,0.086,1.386
1.676,-1.76,1.11,0.19,-1,-1.08,0.5,0.43,0.27,0.47,0.08,-0.05,0.029,1.215
0.092,-1.25,1.05,0.33,0.65,-0.98,0.4,0.27,0.31,-0.47,-0.89,-0.12,-0.128,0.92
0.648,-0.87,-1.71,1.01,-0.2068,-1.01,0.33,0.26,0.41,-0.35,-1.44,-0.14,-0.053,1.194
0.8,-1.4,0.13,0.01,-0.18,-1.01,0.24,0.07,0.45,-0.52,1.13,-0.14,0.031,0.963
-0.672,-1.55,-1.57,1.71,0.32,-0.85,0,-0.37,0.35,-0.38,-0.72,-0.12,0.163,0.456
0.121,-1.59,-1.29,0.22,-1.12,-0.95,0.03,-0.34,0.54,0.19,-1.34,-0.09,0.1,0.605
0.973,-1.65,-0.04,0.02,0.49,-0.81,0.09,-0.31,0.52,-0.36,0.26,-0.03,0.126,0.029
1.194,-0.88,-0.43,-0.67,1.31,-0.72,0.11,-0.23,0.79,1.61,1.12,0.08,0.256,-0.733
-1.351,-0.31,0.48,-1.74,-0.39,-0.05,0.36,0.05,0.59,-0.91,-1.05,0.15,0.1,-0.47
-1.356,-0.53,0.72,1.2,1.65,0.56,0.46,0.45,0.39,-2.11,0.33,0.22,-0.192,-1.234
-0.054,0.09,0.62,0.66,-1.39,0.56,0.4,0.41,0.24,-0.37,1.85,0.29,-0.104,-0.686
0.875,0.52,1.03,-1.02,-1.02,0.42,0.36,0.35,0.19,1.62,0.59,0.38,-0.103,-0.017
